"ventes"  "nbpompes" "nbconc"  "trafic"
203    4    4   13
   262   18   21   18
   247   16   19   10
 239   11   12   15
 241   10   11   19
217    4    4   12
  224    8   10    9
249   15   17   14
  242   10   11   21
  268   20   23   18
  233   10   12   12
250   16   19   12
  236   10   11   14
231    9   10   12
 254   17   20   14
  238   12   14   11
242   11   12   17
 241    9    9   22
  260   16   18   22
 282   21   23   28
  258   17   19   17
 265   20   23   16
249   14   16   17
 249   13   15   19
242    9    9   23
 220    6    7   11
  268   21   24   16
  225    9   11    8
  240   10   11   18
 234    9   10   16
  226    9   11    8
 243   13   15   14
 222    4    4   17
 230    7    7   17
 230    8    9   14
  223    3    2   20
 255   14   15   22
  245   11   12   21
  239    7    7   25
 239   10   11   18
 257   14   15   24
 224    7    8   12
247   12   13   20
 232    9   10   13
  235    8    8   19
